metabolite,value_blk,Carbon_Source,Strain,Replicate,Timepoint,value_uM,value_uM_corr
Putrescine,0,D-Glucose,Enterobacter,2,28,0,0
Pyruvic.acid,0,D-Glucose,Ecoli,1,28,386,386
Pyruvic.acid,0,D-Glucose,Ecoli,2,28,360,360
Pyruvic.acid,0,D-Glucose,Enterobacter,1,28,4.34,4.34
Pyruvic.acid,0,D-Glucose,Enterobacter,2,28,6.07,6.07
Sarcosine,0,D-Glucose,Ecoli,1,28,0,0
Sarcosine,0,D-Glucose,Ecoli,2,28,0,0
Sarcosine,0,D-Glucose,Enterobacter,1,28,0,0
Sarcosine,0,D-Glucose,Enterobacter,2,28,0,0
Serine,0,D-Glucose,Ecoli,1,28,0.109,0.109
Serine,0,D-Glucose,Ecoli,2,28,0.428,0.428
Serine,0,D-Glucose,Enterobacter,1,28,0,0
Serine,0,D-Glucose,Enterobacter,2,28,0,0
Serotonin,0,D-Glucose,Ecoli,1,28,0,0
Serotonin,0,D-Glucose,Ecoli,2,28,0,0
Serotonin,0,D-Glucose,Enterobacter,1,28,0,0
Serotonin,0,D-Glucose,Enterobacter,2,28,0,0
Spermidine,0,D-Glucose,Ecoli,1,28,0,0
Spermidine,0,D-Glucose,Ecoli,2,28,0,0
Spermidine,0,D-Glucose,Enterobacter,1,28,0,0
Spermidine,0,D-Glucose,Enterobacter,2,28,0,0
Spermine,0,D-Glucose,Ecoli,1,28,0,0
Spermine,0,D-Glucose,Ecoli,2,28,0,0
Spermine,0,D-Glucose,Enterobacter,1,28,0,0
Spermine,0,D-Glucose,Enterobacter,2,28,0,0
Succinic.acid,0,D-Glucose,Ecoli,1,28,348,348
Succinic.acid,0,D-Glucose,Ecoli,2,28,266,266
Succinic.acid,0,D-Glucose,Enterobacter,1,28,250,250
Succinic.acid,0,D-Glucose,Enterobacter,2,28,265,265
Taurine,0,D-Glucose,Ecoli,1,28,0,0
Taurine,0,D-Glucose,Ecoli,2,28,0,0
Taurine,0,D-Glucose,Enterobacter,1,28,0,0
Taurine,0,D-Glucose,Enterobacter,2,28,0,0
Threonine,0,D-Glucose,Ecoli,1,28,0,0
Threonine,0,D-Glucose,Ecoli,2,28,0,0
Threonine,0,D-Glucose,Enterobacter,1,28,0,0
Threonine,0,D-Glucose,Enterobacter,2,28,0,0
Total.dimethylarginine,0,D-Glucose,Ecoli,1,28,0,0
Total.dimethylarginine,0,D-Glucose,Ecoli,2,28,0,0
Total.dimethylarginine,0,D-Glucose,Enterobacter,1,28,0,0
Total.dimethylarginine,0,D-Glucose,Enterobacter,2,28,0,0
trans.Hydroxyproline,0,D-Glucose,Ecoli,1,28,0,0
trans.Hydroxyproline,0,D-Glucose,Ecoli,2,28,0,0
trans.Hydroxyproline,0,D-Glucose,Enterobacter,1,28,0,0
trans.Hydroxyproline,0,D-Glucose,Enterobacter,2,28,0,0
Trimethylamine.N.oxide,0,D-Glucose,Ecoli,1,28,0,0
Trimethylamine.N.oxide,0,D-Glucose,Ecoli,2,28,0,0
Trimethylamine.N.oxide,0,D-Glucose,Enterobacter,1,28,0,0
Trimethylamine.N.oxide,0,D-Glucose,Enterobacter,2,28,0,0
Tryptophan,0,D-Glucose,Ecoli,1,28,0,0
Tryptophan,0,D-Glucose,Ecoli,2,28,0,0
Tryptophan,0,D-Glucose,Enterobacter,1,28,0,0
Tryptophan,0,D-Glucose,Enterobacter,2,28,0,0
Tyramine,0,D-Glucose,Ecoli,1,28,0,0
Tyramine,0,D-Glucose,Ecoli,2,28,0,0
Tyramine,0,D-Glucose,Enterobacter,1,28,0,0
Tyramine,0,D-Glucose,Enterobacter,2,28,0,0
Tyrosine,0,D-Glucose,Ecoli,1,28,0,0
Tyrosine,0,D-Glucose,Ecoli,2,28,0,0
Tyrosine,0,D-Glucose,Enterobacter,1,28,0,0
Tyrosine,0,D-Glucose,Enterobacter,2,28,0,0
Uric.acid,0,D-Glucose,Ecoli,1,28,0,0
Uric.acid,0,D-Glucose,Ecoli,2,28,0,0
Uric.acid,0,D-Glucose,Enterobacter,1,28,0,0
Uric.acid,0,D-Glucose,Enterobacter,2,28,0,0
Valeric.acid,0,D-Glucose,Ecoli,1,28,3.9,3.9
Valeric.acid,0,D-Glucose,Ecoli,2,28,3.73,3.73
Valeric.acid,0,D-Glucose,Enterobacter,1,28,0.489,0.489
Valeric.acid,0,D-Glucose,Enterobacter,2,28,0.426,0.426
Valine,0,D-Glucose,Ecoli,1,28,13.4,13.4
Valine,0,D-Glucose,Ecoli,2,28,9.05,9.05
Valine,0,D-Glucose,Enterobacter,1,28,10.6,10.6
Valine,0,D-Glucose,Enterobacter,2,28,14.3,14.3
X14.1SMOH,0,D-Glucose,Ecoli,1,28,0,0
X14.1SMOH,0,D-Glucose,Ecoli,2,28,0,0
X14.1SMOH,0,D-Glucose,Enterobacter,1,28,0,0
X14.1SMOH,0,D-Glucose,Enterobacter,2,28,0,0
X16.0SM,0,D-Glucose,Ecoli,1,28,0,0
X16.0SM,0,D-Glucose,Ecoli,2,28,0,0
X16.0SM,0,D-Glucose,Enterobacter,1,28,0,0
X16.0SM,0,D-Glucose,Enterobacter,2,28,0,0
X16.1SM,0,D-Glucose,Ecoli,1,28,0,0
X16.1SM,0,D-Glucose,Ecoli,2,28,0,0
X16.1SM,0,D-Glucose,Enterobacter,1,28,0,0
X16.1SM,0,D-Glucose,Enterobacter,2,28,0,0
X16.1SMOH,0,D-Glucose,Ecoli,1,28,0,0
X16.1SMOH,0,D-Glucose,Ecoli,2,28,0,0
X16.1SMOH,0,D-Glucose,Enterobacter,1,28,0,0
X16.1SMOH,0,D-Glucose,Enterobacter,2,28,0,0
X18.0SM,0,D-Glucose,Ecoli,1,28,0,0
X18.0SM,0,D-Glucose,Ecoli,2,28,0,0
X18.0SM,0,D-Glucose,Enterobacter,1,28,0,0
X18.0SM,0,D-Glucose,Enterobacter,2,28,0,0
X18.1SM,0,D-Glucose,Ecoli,1,28,0,0
X18.1SM,0,D-Glucose,Ecoli,2,28,0,0
X18.1SM,0,D-Glucose,Enterobacter,1,28,0,0
X18.1SM,0,D-Glucose,Enterobacter,2,28,0,0
X20.2SM,0,D-Glucose,Ecoli,1,28,0,0
X20.2SM,0,D-Glucose,Ecoli,2,28,0,0
X20.2SM,0,D-Glucose,Enterobacter,1,28,0,0
X20.2SM,0,D-Glucose,Enterobacter,2,28,0,0
X22.1SMOH,0,D-Glucose,Ecoli,1,28,0,0
X22.1SMOH,0,D-Glucose,Ecoli,2,28,0,0
X22.1SMOH,0,D-Glucose,Enterobacter,1,28,0,0
X22.1SMOH,0,D-Glucose,Enterobacter,2,28,0,0
X22.2SMOH,0,D-Glucose,Ecoli,1,28,0,0
X22.2SMOH,0,D-Glucose,Ecoli,2,28,0,0
X22.2SMOH,0,D-Glucose,Enterobacter,1,28,0,0
X22.2SMOH,0,D-Glucose,Enterobacter,2,28,0,0
X24.1SMOH,0,D-Glucose,Ecoli,1,28,0,0
X24.1SMOH,0,D-Glucose,Ecoli,2,28,0,0
X24.1SMOH,0,D-Glucose,Enterobacter,1,28,0,0
X24.1SMOH,0,D-Glucose,Enterobacter,2,28,0,0
